feature,shap_importance,compartment,feature_type
Cells_Texture_AngularSecondMoment_Mito_10_03_256,0.0022194767801764622,Cells,Texture
Cells_RadialDistribution_MeanFrac_mito_tubeness_5of16,0.002219439441801764,Cells,RadialDistribution
Cytoplasm_Intensity_MinIntensityEdge_RNA,0.002216346143811409,Cytoplasm,Intensity
Nuclei_RadialDistribution_RadialCV_AGP_4of4,0.00221508393597365,Nuclei,RadialDistribution
Cells_Granularity_8_ER,0.002213064601091901,Cells,Granularity
Cells_Granularity_11_RNA,0.0022127426003706726,Cells,Granularity
Nuclei_Texture_Variance_Mito_5_03_256,0.0022119980083828393,Nuclei,Texture
Nuclei_Granularity_10_Mito,0.0022095163117254353,Nuclei,Granularity
Nuclei_Granularity_10_ER,0.0022082830625835674,Nuclei,Granularity
Cytoplasm_RadialDistribution_RadialCV_Mito_1of4,0.002205799080610242,Cytoplasm,RadialDistribution
Cells_AreaShape_Zernike_7_7,0.0022042655116008194,Cells,AreaShape
Nuclei_Texture_Contrast_Mito_10_02_256,0.0022029124462018706,Nuclei,Texture
Nuclei_Texture_Correlation_DNA_5_01_256,0.0022001558317106176,Nuclei,Texture
Nuclei_RadialDistribution_MeanFrac_ER_4of4,0.002198614003266682,Nuclei,RadialDistribution
Nuclei_Correlation_K_Mito_ER,0.0021979921255530954,Nuclei,Correlation
Nuclei_Texture_Variance_Mito_3_00_256,0.0021979691789394047,Nuclei,Texture
Nuclei_RadialDistribution_RadialCV_RNA_1of4,0.0021978452197903868,Nuclei,RadialDistribution
Cells_Correlation_K_AGP_DNA,0.002195618589259019,Cells,Correlation
Cytoplasm_Granularity_1_ER,0.0021945490452656355,Cytoplasm,Granularity
Cells_Texture_Correlation_DNA_3_01_256,0.002187457913873264,Cells,Texture
Cytoplasm_Correlation_RWC_Mito_AGP,0.0021865580494753495,Cytoplasm,Correlation
Cytoplasm_Correlation_RWC_DNA_AGP,0.0021807074448068828,Cytoplasm,Correlation
Nuclei_Correlation_K_DNA_Mito,0.0021803224488914047,Nuclei,Correlation
Cytoplasm_Texture_InfoMeas2_DNA_3_01_256,0.0021800149831791974,Cytoplasm,Texture
Cytoplasm_Intensity_MeanIntensity_AGP,0.00217992448250048,Cytoplasm,Intensity
Cytoplasm_Correlation_K_AGP_Mito,0.0021791849469523835,Cytoplasm,Correlation
Cytoplasm_Granularity_1_AGP,0.0021774579296678503,Cytoplasm,Granularity
Cytoplasm_Granularity_8_ER,0.002176896419280508,Cytoplasm,Granularity
Nuclei_Granularity_2_ER,0.0021643270863153574,Nuclei,Granularity
Cytoplasm_Intensity_MinIntensityEdge_Mito,0.002161726091838188,Cytoplasm,Intensity
Cytoplasm_Granularity_11_RNA,0.0021575795214240703,Cytoplasm,Granularity
Nuclei_Granularity_14_AGP,0.0021551440323569946,Nuclei,Granularity
Cytoplasm_Correlation_Correlation_AGP_Mito,0.002154079010337487,Cytoplasm,Correlation
Cells_Neighbors_FirstClosestObjectNumber_5,0.002152616230190948,Cells,Neighbors
Cells_AreaShape_Zernike_8_8,0.0021523105339890337,Cells,AreaShape
Cells_Correlation_Correlation_AGP_Mito,0.002150712006093402,Cells,Correlation
Nuclei_RadialDistribution_MeanFrac_RNA_1of4,0.002140560691524505,Nuclei,RadialDistribution
Nuclei_Texture_Correlation_AGP_3_02_256,0.0021391057698747318,Nuclei,Texture
Cytoplasm_RadialDistribution_RadialCV_ER_1of4,0.0021388554303666753,Cytoplasm,RadialDistribution
Cytoplasm_Texture_DifferenceEntropy_DNA_5_03_256,0.002137999578002824,Cytoplasm,Texture
