drug_name,pathway,shap_morpho_total,shap_morgan_total,morpho_pct
AZD1332,RTK signaling,0.0010743043844064785,4.4681628844263745e-05,96.0069537675042
Bicalutamide,Hormone-related,0.0006038253458766748,9.55305415289362e-05,86.34021057814724
Linsitinib,IGF1R signaling,0.0010308337654128274,9.30210754118187e-05,91.72303468092346
Cyclophosphamide,DNA replication,0.0009323530747828563,0.00027456449425073684,77.25076663930022
Sapitinib,EGFR signaling,0.0007120196266896617,8.482594592581051e-05,89.35478230149566
Lapatinib,EGFR signaling,0.0007678670117425496,8.633880551786903e-05,89.89250555624028
Luminespib,Protein stability and degradation,0.0031608218519065708,6.184476572613747e-05,98.08094435248883
Taselisib,PI3K/MTOR signaling,0.0007082491731821456,4.760093958525798e-05,93.70233082178476
IWP-2,WNT signaling,0.0009078013328678786,0.00013261830626548968,87.25338303148949
Leflunomide,DNA replication,0.0007126962033603862,0.00010586604438820105,87.06683032605277
GSK2801,Chromatin other,0.00080416632014066,0.00010739653657392163,88.21841677917901
Entinostat,Chromatin histone acetylation,0.0013791049112196912,4.630375809160073e-05,96.75154507696567
OSI-027,PI3K/MTOR signaling,0.0032525173808889193,0.0001318012639343804,96.10553030708306
LGK974,WNT signaling,0.0005477598497906688,9.923824371956393e-05,84.6617409363364
VE-822,Genome integrity,0.001750685968740296,5.3298293123300606e-05,97.04552338675943
WZ4003,"Other, kinases",0.0006330699457655214,0.00010270244555000426,86.04154671169745
CZC24832,PI3K/MTOR signaling,0.0009202542053260842,0.00015325519023466454,85.72390787929606
GSK2606414,Metabolism,0.0010073253159635428,8.43042972271525e-05,92.27720682835438
PCI-34051,Chromatin histone acetylation,0.0006860523759103559,0.00010329446965386731,86.91393140615737
Wnt-C59,WNT signaling,0.0006596183902457169,0.00010267249669664025,86.53106072034097
RVX-208,Chromatin other,0.000692610160514916,9.465559379854974e-05,87.97666565833363
GSK343,Chromatin histone methylation,0.0007470338000183678,0.00010345071129357931,87.83626157588719
